turbine_num,code,time_on,time_off,duration,stop_cat,description
22,9,2015-11-01 00:03:56,2015-11-01 00:23:56,0 days 00:20:00.000000000,ok,description anonymised
21,93,2015-11-01 00:09:54,2015-11-01 00:10:56,0 days 00:01:02.000000000,ok,description anonymised
21,97,2015-11-01 00:10:56,2015-11-01 00:37:39,0 days 00:26:43.000000000,ok,description anonymised
22,165,2015-11-01 00:16:39,2015-11-06 05:03:35,5 days 04:46:56.000000000,ok,description anonymised
22,93,2015-11-01 00:23:56,2015-11-01 00:24:58,0 days 00:01:02.000000000,ok,description anonymised
22,97,2015-11-01 00:24:58,2015-11-01 00:26:11,0 days 00:01:13.000000000,ok,description anonymised
22,9,2015-11-01 00:26:11,2015-11-01 00:27:19,0 days 00:01:08.000000000,ok,description anonymised
22,93,2015-11-01 00:27:19,2015-11-01 00:28:21,0 days 00:01:02.000000000,ok,description anonymised
22,97,2015-11-01 00:28:21,2015-11-01 00:29:26,0 days 00:01:05.000000000,ok,description anonymised
22,9,2015-11-01 00:29:26,2015-11-01 00:32:20,0 days 00:02:54.000000000,ok,description anonymised
22,84,2015-11-01 00:32:20,2015-11-01 03:41:33,0 days 03:09:13.000000000,ok,description anonymised
21,9,2015-11-01 00:37:39,2015-11-01 00:40:52,0 days 00:03:13.000000000,ok,description anonymised
21,84,2015-11-01 00:40:52,2015-11-01 00:47:16,0 days 00:06:24.000000000,ok,description anonymised
21,9,2015-11-01 00:47:16,2015-11-01 01:07:16,0 days 00:20:00.000000000,ok,description anonymised
21,93,2015-11-01 01:07:16,2015-11-01 01:08:18,0 days 00:01:02.000000000,ok,description anonymised
21,97,2015-11-01 01:08:18,2015-11-01 01:14:22,0 days 00:06:04.000000000,ok,description anonymised
21,9,2015-11-01 01:14:22,2015-11-01 01:15:20,0 days 00:00:58.000000000,ok,description anonymised
21,93,2015-11-01 01:15:20,2015-11-01 01:16:17,0 days 00:00:57.000000000,ok,description anonymised
21,97,2015-11-01 01:16:17,2015-11-01 01:17:26,0 days 00:01:09.000000000,ok,description anonymised
21,9,2015-11-01 01:17:26,2015-11-01 01:18:26,0 days 00:01:00.000000000,ok,description anonymised
21,93,2015-11-01 01:18:26,2015-11-01 01:19:24,0 days 00:00:58.000000000,ok,description anonymised
21,97,2015-11-01 01:19:24,2015-11-01 01:39:29,0 days 00:20:05.000000000,ok,description anonymised
21,9,2015-11-01 01:39:29,2015-11-01 01:40:27,0 days 00:00:58.000000000,ok,description anonymised
21,93,2015-11-01 01:40:27,2015-11-01 01:41:25,0 days 00:00:58.000000000,ok,description anonymised
21,97,2015-11-01 01:41:25,2015-11-01 01:42:33,0 days 00:01:08.000000000,ok,description anonymised
21,9,2015-11-01 01:42:33,2015-11-01 01:43:33,0 days 00:01:00.000000000,ok,description anonymised
21,93,2015-11-01 01:43:33,2015-11-01 01:44:31,0 days 00:00:58.000000000,ok,description anonymised
21,97,2015-11-01 01:44:31,2015-11-01 01:46:53,0 days 00:02:22.000000000,ok,description anonymised
21,9,2015-11-01 01:46:53,2015-11-01 01:47:51,0 days 00:00:58.000000000,ok,description anonymised
21,93,2015-11-01 01:47:51,2015-11-01 01:48:49,0 days 00:00:58.000000000,ok,description anonymised
21,97,2015-11-01 01:48:49,2015-11-01 01:50:59,0 days 00:02:10.000000000,ok,description anonymised
21,9,2015-11-01 01:50:59,2015-11-01 01:51:57,0 days 00:00:58.000000000,ok,description anonymised
21,93,2015-11-01 01:51:57,2015-11-01 01:52:55,0 days 00:00:58.000000000,ok,description anonymised
21,97,2015-11-01 01:52:55,2015-11-01 01:53:58,0 days 00:01:03.000000000,ok,description anonymised
21,9,2015-11-01 01:53:58,2015-11-01 01:54:58,0 days 00:01:00.000000000,ok,description anonymised
21,93,2015-11-01 01:54:58,2015-11-01 01:55:57,0 days 00:00:59.000000000,ok,description anonymised
21,97,2015-11-01 01:55:57,2015-11-01 01:57:28,0 days 00:01:31.000000000,ok,description anonymised
21,9,2015-11-01 01:57:28,2015-11-01 02:00:33,0 days 00:03:05.000000000,ok,description anonymised
21,84,2015-11-01 02:00:33,2015-11-01 03:16:27,0 days 01:15:54.000000000,ok,description anonymised
21,9,2015-11-01 03:16:27,2015-11-01 03:36:27,0 days 00:20:00.000000000,ok,description anonymised
21,93,2015-11-01 03:36:27,2015-11-01 03:37:29,0 days 00:01:02.000000000,ok,description anonymised
21,97,2015-11-01 03:37:29,2015-11-01 05:55:47,0 days 02:18:18.000000000,ok,description anonymised
22,9,2015-11-01 03:41:33,2015-11-01 03:58:54,0 days 00:17:21.000000000,ok,description anonymised
22,84,2015-11-01 03:58:54,2015-11-01 06:16:58,0 days 02:18:04.000000000,ok,description anonymised
21,9,2015-11-01 05:55:47,2015-11-01 05:56:52,0 days 00:01:05.000000000,ok,description anonymised
21,93,2015-11-01 05:56:52,2015-11-01 05:57:52,0 days 00:01:00.000000000,ok,description anonymised
21,97,2015-11-01 05:57:52,2015-11-01 05:59:05,0 days 00:01:13.000000000,ok,description anonymised
21,9,2015-11-01 05:59:05,2015-11-01 06:00:08,0 days 00:01:03.000000000,ok,description anonymised
21,93,2015-11-01 06:00:08,2015-11-01 06:01:07,0 days 00:00:59.000000000,ok,description anonymised
21,97,2015-11-01 06:01:07,2015-11-01 06:02:56,0 days 00:01:49.000000000,ok,description anonymised
21,9,2015-11-01 06:02:56,2015-11-01 06:03:57,0 days 00:01:01.000000000,ok,description anonymised
21,93,2015-11-01 06:03:57,2015-11-01 06:04:56,0 days 00:00:59.000000000,ok,description anonymised
21,97,2015-11-01 06:04:56,2015-11-01 06:07:35,0 days 00:02:39.000000000,ok,description anonymised
21,9,2015-11-01 06:07:35,2015-11-01 06:08:35,0 days 00:01:00.000000000,ok,description anonymised
21,93,2015-11-01 06:08:35,2015-11-01 06:09:33,0 days 00:00:58.000000000,ok,description anonymised
21,97,2015-11-01 06:09:33,2015-11-01 06:13:45,0 days 00:04:12.000000000,ok,description anonymised
21,9,2015-11-01 06:13:45,2015-11-01 06:14:46,0 days 00:01:01.000000000,ok,description anonymised
